order_id,customer_id,order_date,product_category,product_name,quantity,price_per_unit,discount_applied,delivery_status
ORD-00001,CUST-126,2022-12-31,Books,History Book,1,316.12,0.20,Returned
ORD-00002,CUST-171,2023-07-14,Home Goods,Blender,3,81.15,0.00,Cancelled
ORD-00003,CUST-140,2023-02-17,Clothing,Dress,1,227.48,0.00,Pending
ORD-00004,CUST-390,2023-08-01,Electronics,Headphones,5,169.12,0.00,Delivered
ORD-00005,CUST-311,2023-08-07,Food & Beverage,Protein Bar,1,380.31,0.00,Shipped
ORD-00006,CUST-739,2023-12-24,Books,History Book,1,372.40,0.00,Cancelled
ORD-00007,CUST-982,2023-11-06,Electronics,Tablet,3,169.06,0.19,Shipped
ORD-00008,CUST-931,2023-01-01,Food & Beverage,Energy Drink,5,377.48,0.16,Shipped
ORD-00009,CUST-64,2023-08-21,Electronics,Laptop,2,374.06,0.00,Delivered
ORD-00010,CUST-579,2023-10-25,Clothing,Dress,1,361.40,0.00,Shipped
ORD-00011,CUST-249,2023-12-22,Electronics,Tablet,1,18.27,0.00,Delivered
ORD-00012,CUST-302,2023-04-03,Home Goods,Blender,5,96.48,0.00,Shipped
ORD-00013,CUST-106,2023-04-05,Books,History Book,2,242.41,0.00,Cancelled
ORD-00014,CUST-302,2023-01-10,Electronics,Tablet,5,443.43,0.00,Returned
ORD-00015,CUST-137,2023-12-14,Food & Beverage,Energy Drink,5,188.08,0.00,Shipped
ORD-00016,CUST-479,2023-12-08,Clothing,T-Shirt,2,18.56,0.00,Cancelled
ORD-00017,CUST-807,2023-10-11,Food & Beverage,Protein Bar,5,194.34,0.00,Cancelled
ORD-00018,CUST-969,2023-06-30,Electronics,Smartphone,1,470.73,0.00,Shipped
ORD-00019,CUST-211,2023-10-14,Home Goods,Toaster,4,339.01,0.00,Delivered
ORD-00020,CUST-392,2023-12-06,Clothing,Jeans,4,176.50,0.00,Shipped
ORD-00021,CUST-473,2023-03-15,Food & Beverage,Organic Tea,2,440.15,0.16,Shipped
ORD-00022,CUST-534,2023-09-25,Books,Fiction Novel,3,27.47,0.00,Delivered
ORD-00023,CUST-667,2023-05-17,Home Goods,Toaster,2,33.80,0.00,Pending
ORD-00024,CUST-677,2023-07-26,Home Goods,Toaster,1,112.70,0.00,Returned
ORD-00025,CUST-424,2023-02-17,Food & Beverage,Organic Tea,3,100.53,0.00,Delivered
ORD-00026,CUST-566,2023-07-17,Home Goods,Toaster,1,337.18,0.15,Pending
ORD-00027,CUST-739,2023-06-07,Clothing,Jeans,5,202.75,0.00,Pending
ORD-00028,CUST-994,2023-02-01,Clothing,Dress,4,139.72,0.00,Shipped
ORD-00029,CUST-792,2023-06-18,Books,Science Book,2,211.62,0.06,Delivered
ORD-00030,CUST-999,2023-02-18,Clothing,Jacket,1,62.25,0.19,Returned
ORD-00031,CUST-447,2023-10-23,Electronics,Laptop,1,238.06,0.00,Returned
ORD-00032,CUST-200,2023-06-04,Books,Biography,3,78.93,0.20,Delivered
ORD-00033,CUST-880,2023-02-10,Clothing,Sneakers,4,148.04,0.07,Pending
ORD-00034,CUST-75,2023-08-11,Clothing,Sneakers,1,13.08,0.04,Cancelled
ORD-00035,CUST-958,2023-03-25,Home Goods,Vacuum Cleaner,2,397.17,0.00,Returned
ORD-00036,CUST-945,2023-10-31,Food & Beverage,Energy Drink,2,196.26,0.00,Shipped
ORD-00037,CUST-813,2023-09-02,Clothing,Jacket,5,197.56,0.00,Pending
ORD-00038,CUST-18,2023-05-16,Books,Cookbook,3,130.13,0.17,Pending
ORD-00039,CUST-533,2023-01-06,Electronics,Laptop,5,306.20,0.00,Delivered
ORD-00040,CUST-315,2023-01-19,Electronics,Laptop,4,287.99,0.00,Cancelled
ORD-00041,CUST-107,2023-01-02,Clothing,Sneakers,3,140.00,0.00,Returned
ORD-00042,CUST-463,2023-04-30,Electronics,Laptop,5,286.37,0.20,Shipped
ORD-00043,CUST-488,2023-03-03,Electronics,Headphones,5,266.88,0.00,Shipped
ORD-00044,CUST-462,2023-05-05,Electronics,Laptop,5,450.36,0.00,Shipped
ORD-00045,CUST-189,2023-10-26,Clothing,Jacket,5,40.65,0.00,Shipped
ORD-00046,CUST-307,2023-04-05,Electronics,Smartphone,2,399.86,0.00,Pending
ORD-00047,CUST-933,2023-10-31,Electronics,Smartphone,3,148.19,0.00,Returned
ORD-00048,CUST-79,2023-06-15,Electronics,Laptop,4,341.30,0.13,Cancelled
ORD-00049,CUST-579,2023-04-16,Books,Biography,5,233.64,0.00,Shipped
ORD-00050,CUST-873,2023-11-12,Food & Beverage,Organic Tea,1,221.44,0.00,Pending
ORD-00051,CUST-209,2023-04-27,Electronics,Laptop,1,75.04,0.12,Cancelled
ORD-00052,CUST-723,2023-10-01,Home Goods,Coffee Maker,4,289.87,0.00,Cancelled
ORD-00053,CUST-459,2023-05-08,Books,Biography,5,309.19,0.00,Pending
ORD-00054,CUST-301,2023-06-16,Home Goods,Blender,1,263.07,0.00,Shipped
ORD-00055,CUST-540,2023-03-21,Clothing,Jeans,4,470.89,0.00,Pending
ORD-00056,CUST-265,2023-09-27,Clothing,Jacket,2,200.83,0.12,Pending
ORD-00057,CUST-43,2023-03-06,Home Goods,Blender,4,406.55,0.00,Delivered
ORD-00058,CUST-952,2023-06-15,Home Goods,Coffee Maker,5,223.42,0.03,Pending
ORD-00059,CUST-310,2023-12-15,Food & Beverage,Protein Bar,1,13.90,0.00,Cancelled
ORD-00060,CUST-629,2023-07-03,Food & Beverage,Energy Drink,3,89.39,0.09,Cancelled
ORD-00061,CUST-186,2023-01-15,Books,Biography,1,218.09,0.02,Shipped
ORD-00062,CUST-489,2023-01-25,Books,History Book,2,61.28,0.06,Cancelled
ORD-00063,CUST-495,2023-11-08,Food & Beverage,Energy Drink,5,208.33,0.06,Returned
ORD-00064,CUST-320,2023-12-17,Clothing,Dress,2,121.03,0.00,Cancelled
ORD-00065,CUST-544,2023-04-12,Clothing,Sneakers,3,102.77,0.01,Shipped
ORD-00066,CUST-814,2023-11-20,Clothing,Jacket,5,130.71,0.00,Cancelled
ORD-00067,CUST-952,2023-11-26,Food & Beverage,Coffee Beans,3,187.16,0.00,Delivered
ORD-00068,CUST-413,2023-02-07,Home Goods,Toaster,1,436.86,0.00,Returned
ORD-00069,CUST-898,2023-11-06,Electronics,Smartphone,5,375.54,0.00,Returned
ORD-00070,CUST-600,2023-06-23,Home Goods,Air Fryer,2,58.31,0.00,Pending
ORD-00071,CUST-123,2023-05-25,Electronics,Smartphone,5,379.08,0.00,Returned
ORD-00072,CUST-687,2023-08-25,Food & Beverage,Organic Tea,2,235.94,0.00,Pending
ORD-00073,CUST-812,2023-06-15,Electronics,Smartphone,5,229.40,0.00,Delivered
